지역,가맹점명,분류,주소
부산 ,브이원모텔,숙박,부산 사상구 괘법동  547-6 
충남 ,둘레표구사,미술,충남 논산시 강경읍 남교리81 
전북 ,중앙도서,도서,전북 전주시 덕진구 정언신로 38 (인후동1가) 
전북 ,신 문광서림,도서,"전북 전주시 덕진구 태진로 61, 동양아파트 F동 지하상가 "
전북 ,애플해외여행사,여행사,전북 전주시 덕진구 팔달로 335 
전북 ,동산서점,도서,전북 전주시 덕진구 쪽구름2길 18 (동산동) 
전북 ,신세계관광여행사,여행사,전북 전주시 덕진구 팔달로 357 (진북동) 
전북 ,종로서림,도서,"전북 전주시 덕진구 호성1길 39, 지하 "
전북 ,(유)코끼리관광여행사,여행사,전북 전주시 완산구 메너머3길 39 
전북 ,나무사랑가구,문화체험,전라북도 전주시 완산구  안행로 48 
전북 ,좋은친구,도서,전북 전주시 완산구 용리로 116 
전북 ,모텔 팝,숙박,전북 전주시 완산구 강당2길 12-6 (효자동3가) 
전북 ,부부문구서점,도서,전북 전주시 완산구 거마남로 70 (삼천동1가) 
전북 ,전주삼천문화의집,문화체험,전라북도 전주시 완산구  거마중앙로 49 삼천2동주민센터 2층
전북 ,어린이서점 로뎀북,도서,전북 전주시 완산구 거마평로 93 
전북 ,상산문구,도서,전북 전주시 완산구 거마평로 125 상산타운상가 1-105호 (효자동1가) 
전북 ,유한회사 참투어,여행사,전북 전주시 완산구 용리로 128 
부산 ,까무스모텔,숙박,부산 동구 중앙대로203번길 9 
부산 ,백운서점,도서,부산 동구 중앙대로371번길 71-1 
광주 ,지오 오브제,미술,광주 동구 불로동 100-1 
광주 ,주식회사퍼니허니문,여행사,광주 동구 불로동 서석로 1 
광주 ,대양서림,도서,광주 동구 서남로 26 
광주 ,후지포토,미술,광주 동구 서남로 31 
광주 ,여행마을(주),여행사,광주 동구 서석로 13 (불로동) 
광주 ,(주)허니문리조트,여행사,광주 동구 서석로 14 비전빌딩 2층 팜투어 광주지사 (불로동) 
광주 ,어썸스튜디오,미술,광주 동구 서석로 39 
대전 ,닮음포토,미술,대전 대덕구 평촌동 541-8 2층 
대전 ,이미지플러스,미술,대전 대덕구 한남로 30 1층 
대전 ,대전침례회서관,도서,"대전 동구  태전로 16,(중동) "
대전 ,천연장,숙박,대전 동구 가양1동436-6 
대전 ,서점아카데미,도서,대전 동구 가양동  28-17 
대전 ,지랜드서점,도서,대전 동구 가양동 152-8 
대전 ,아름다운사진,미술,대전 동구 가양동 87-1 
부산 ,초콜릿,숙박,부산 기장군 기장읍 연화리 292-1 
부산 ,사계절서점,도서,부산 기장군 기장읍 읍내로 94번길 2 
부산 ,연사진실,미술,부산 기장군 기장읍 차성로 273 
부산 ,호텔 페오(FEOH),숙박,부산 기장군 기장읍 차성로 397 콘티넨탈모텔 
부산 ,기장역,교통수단,부산 기장군 기장읍 차성로288번길 86 기장역 
부산 ,(주)보선투어,여행사,부산 기장군 기장읍 차성로390번길 19 3층 
부산 ,복인당 화랑 표구사,미술,부산 기장군 장안읍 좌천리 249-1 복인당표구사 
부산 ,좌천 정류소,교통수단,부산 기장군 장안읍 좌천리 256-5 
부산 ,드림오피스 정관점,도서,부산 기장군 정관면 정관4로 43-1 
부산 ,정관북아울렛,도서,부산 기장군 정관면 정관로 501-11 에이스프라자 
부산 ,몽당연필서적,도서,부산 기장군 정관면 정관로 545 이진캐스빌단지 내 상가 (용수리) 
부산 ,영재서적정관점,도서,부산 기장군 정관면 정관로 581 
부산 ,메가북스,도서,"부산 기장군 정관읍 정관3로 23, 301동 108호 "
부산 ,행복서점,도서,"부산 기장군 정관읍 정관로 495, 1층 104호(정관주민자치회관) "
부산 ,POTEC,미술,부산광역시 남구  양지골로 33 
부산 ,중앙사,도서,부산 남구 대연3동 539-16 
